address,token_address,total_pnl,realized_pnl,roi,unrealized_pnl,unrealized_roi,win_rate,wins,losses,total_volume,total_trades,avg_trade_size,is_bot,avg_profit_per_trade,loss_rate,win_loss_ratio,profit_factor,volume_per_trade,persona,persona_confidence,validation_passed,quality_score,prob_Elite Sniper,prob_Whale,prob_Consistent Performer,prob_Scalper,prob_Momentum Trader,prob_Risk-Taker,prob_Developing Trader,profitability_score,risk_adjusted_score,consistency_score,copy_trading_score,risk_category,qual_category
ftRdqhTGEst8kMRKGnRVydzRAKTmoBB768byuErd5y6,2hplggfkagpkxuj7hu1qxl1dnhxvdnjbjmsgna15unec,6403.1,2289.2,59.54,0.0,0.0,50.0,1.0,1.0,14000.0,34,415.0,0,67.32941176470588,0.029411764705882353,1.0,1.0,411.7647058823529,Developing Trader,0.352950775,True,0.352950775,0.0,0.0,0.0,0.0,0.49833850049437606,0.0,0.5016614995056239,0.3836554,0.2833664705882353,0.6040000000000001,0.3945671786764706,High Risk,Low
fTXjSj7XRkEP1MQDnaQUxwFYwhkHbic7kV53pPTJuw3,7vbqtbxevphssw3iuebvczrqo322jnjujun6scdcxr6t,7438.4,3195.9,12.44,0.0,0.0,100.0,1.0,0.0,59000.0,62,949.0,0,51.54677419354839,0.0,1.0,1.0,951.6129032258065,Unclassified,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High Risk,
FurSZrUtX8s7s7JSjrzwF7npeJ9vnhpHNEMkMrYiLSBJ,83g6vzjzlrcnhbslatj94vcprimyyqwun6zfl11mcadl,11147.0,-74092.0,-45.39,8267.4,5.06,14.29,1.0,6.0,327000.0,50,6500.0,0,-1481.84,0.12,0.16666666666666666,0.16666666666666666,6540.0,Risk-Taker,0.22259075,True,0.22259075,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.17549133333333333,0.03833333333333333,0.5,0.20395560833333337,High Risk,Low
FV2X59BaYLNGoZmHsr9dhgA1ag74wTAtkPfdt2nesSer,3xrlc6r3jvu9t5mecgcg8zggrfr8kcefymabyjvxxk6w,2125.4,-2072.2,-31.76,0.0,0.0,25.0,1.0,3.0,15000.0,34,446.0,0,-60.9470588235294,0.08823529411764706,0.3333333333333333,0.3333333333333333,441.1764705882353,Unclassified,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High Risk,
FvYn8QWgrkR2YWjwCp5VAkbEJ8MdZ321jfovgZ3KsNxU,hnxndek9suxvn12urquccxc267bwm1n472dhcvjmj35,130532.0,85863.0,56.63,2852.7,1.88,19.7,13.0,53.0,409000.0,305,1300.0,0,281.51803278688527,0.1737704918032787,0.24528301886792453,0.24528301886792453,1340.983606557377,Unclassified,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High Risk,
FWBZdJEiYzDaNuT3ehcqF24DhSZRMZ4mLU7VJiYibGqx,8gahtmxsxnmsx4dtwrgwepro3khn9regldjy8xq9c5fr,407138.0,18801.0,1.0,-192702.0,-10.22,35.26,140.0,257.0,2900000.0,1500,1900.0,0,12.534,0.17133333333333334,0.5447470817120622,0.5447470817120622,1933.3333333333333,Unclassified,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High Risk,
FWoAJiN7vP7XLxgvgEFJWVXN4UqK16H1Z67R9FcfNJYB,bcviecp8byqg41qhyycqizjh9pvm8nsiqwppin9y6n4u,77610.0,-1890.9,-11.24,0.0,0.0,33.33,5.0,10.0,111000.0,91,1200.0,0,-20.77912087912088,0.10989010989010989,0.5,0.5,1219.7802197802198,Unclassified,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High Risk,
FWqwp55SiyoQR1z24FRhFDamjB5ZycmmCDjTZC3z4B19,4w2cysotx6czaugmmwg13hdpy4qemg2czekyeqyk9ama,462856.0,-18941.0,-11.35,6913.1,4.14,50.0,1.0,1.0,789000.0,42,19000.0,0,-450.9761904761905,0.023809523809523808,1.0,1.0,18785.714285714286,Risk-Taker,0.5937676666666667,True,0.5937676666666667,0.0,0.33230978453306176,0.0,0.0,0.0,0.39544184830180956,0.2722483671651287,0.5934373333333334,0.2574511904761905,0.652,0.5043870571428571,High Risk,Medium
FYW72hfXJn98Y2pQMfUvCTLZARqsjJjVUX8B4kEpffsp,6gdrrenvfyjqdcugmrkdg2ju7uj8ncvbt2ukal2mdj1l,24143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24000.0,2,12000.0,0,0.0,0.0,0.0,0.0,12000.0,Unclassified,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High Risk,
FZegqfzq4VGB4woZB5p93KVqDy3er6PSGUHYca4cofi1,dxuzkwqyuyzmjqhpjedvanghng4r8vq2om6dyry3q2kz,16901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17000.0,1,17000.0,0,0.0,0.0,0.0,0.0,17000.0,Unclassified,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High Risk,
