"wallet_address","token_address","gross_profit","realized_profit","realized_profit_percent","unrealized_profit","unrealized_profit_percent","win_rate","wins","losses","trade_volume","trades","avg_trade_size","is_bot"
"4nKcXaT9rN85mBaUqVHaDRzHsyDA6a9H9LsY8jdDbdyg",fumjacuaarcubd4dpwycmivs3sjabbb4vyw7auygwxxh,59190.00,45601.00,69.24,4423.70,6.72,20.00,2,8,174000.00,65,2700.00,0
"4P14tPuYBEGtYzze3V6b4yHep5dEaroS3cY4ayVwf4q1","8gahtmxsxnmsx4dtwrgwepro3khn9regldjy8xq9c5fr",33344.00,3167.60,0.71,8239.30,1.85,19.12,13,55,908000.00,1900,467.00,1
"4PtwpqvKD5jzTDRR3rX5VKkmLwupC6znVjVTyX6fsjek","4ekv3ysaehkqxcerltencrybaxnesad8t8pcg9agjdst",26714.00,17042.00,46.74,1939.00,5.32,57.14,8,6,93000.00,67,1400.00,0
"4QzYfSEefzeMx378s2E8UUSkGvbarNERxSDurJCAqiom",lat4msxv2gpyjqsucbz7xmv1g7deotoxvbf4pevl6be,53464.00,34665.00,46.35,-2396.90,-3.20,75.00,3,1,190000.00,230,827.00,0
"4rXFkXD21VFZCoRtVRu35C6FFoHYr8KditsyBMNGuVBP","5hk4wsubzxqzvgn2q6jqhhqb7gmzwilwrkngobytvdhg",25520.00,-12730.00,-17.81,800.17,1.12,30.00,3,7,151000.00,56,2700.00,0
"4TRqBAbBQ49KzKi6MFTMteVyQNug3tLtqZXFR2B1AATs",fkfrk3wdagxokysr1fpggcdeegkv1b1yynx9ykvpg3jg,29160.00,27933.00,137.94,10859.00,53.62,41.67,5,7,58000.00,150,389.00,0
"4uA5VVwbVyZWSrZTqA4EQMxDnZkJXJtqBEfKiknAkxvH",fkfrk3wdagxokysr1fpggcdeegkv1b1yynx9ykvpg3jg,57788.00,-9045.10,-11.78,2170.80,2.83,16.67,1,5,189000.00,49,3900.00,0
"4umYevF2CRLvbV1x8fU3nAHsGtMXpJEJzoXBQehk1ZuE","8n5vs5asyqxrkvl73k9m6hvtkzwmeubsdkzql2mbddy4",51903.00,-799.98,-39.80,0.00,0.00,0.00,0,1,56000.00,86,650.00,0
"4vpKvohxCxqwMwWQXZcKan9PZvAMNuHFwamqiPLoLpEm","1ptwwxev41ssw6nvwwe4aqkfrn6j3jwe7andlehdsfm",21962.00,-854.70,-2.14,-0.25,0.00,45.45,5,6,102000.00,148,688.00,0
"4Ywc1hoCZ2AHnVtFv2dPsWNbEKiHbeEffhaM4jzjhy68","8s1xuyxblz4amd58hburi87czn8ihcofsqxkxzhscvqs",77169.00,17608.00,8.16,0.00,0.00,50.00,44,44,509000.00,696,731.00,0
